日期,参数值,消息数量,占比
2020-11-14,角色,106,0.54%
2020-11-14,关联条目,62,0.31%
2020-11-14,章节,61,0.31%
2020-11-14,评论,49,0.25%
2020-11-14,讨论版,46,0.23%
2020-11-14,标签,43,0.22%
2020-11-14,详情,40,0.2%
2020-11-14,制作人员,31,0.16%
2020-11-14,系列前传,25,0.13%
2020-11-14,系列续集,20,0.1%
2020-11-14,评分分布,13,0.07%
2020-11-14,单行本,11,0.06%
2020-11-14,吐槽,8,0.04%
2020-11-14,条目,4,0.02%
2020-11-14,猜你喜欢,3,0.02%
2020-11-14,系列,2,0.01%
2020-11-14,目录,1,0.01%
2020-11-14,吐槽箱,1,0.01%
2020-11-14,收藏,1,0.01%
2020-11-15,角色,102,0.52%
2020-11-15,关联条目,91,0.46%
2020-11-15,系列续集,79,0.4%
2020-11-15,章节,78,0.39%
2020-11-15,评论,56,0.28%
2020-11-15,标签,51,0.26%
2020-11-15,讨论版,42,0.21%
2020-11-15,系列前传,38,0.19%
2020-11-15,详情,32,0.16%
2020-11-15,制作人员,26,0.13%
2020-11-15,评分分布,15,0.08%
2020-11-15,条目,10,0.05%
2020-11-15,猜你喜欢,9,0.05%
2020-11-15,吐槽,7,0.04%
2020-11-15,单行本,6,0.03%
2020-11-15,曲目列表,6,0.03%
2020-11-15,目录,4,0.02%
2020-11-15,用户动态,1,0.01%
2020-11-15,系列,1,0.01%
2020-11-15,收藏,1,0.01%
2020-11-16,角色,109,0.55%
2020-11-16,关联条目,104,0.53%
2020-11-16,章节,58,0.29%
2020-11-16,详情,58,0.29%
2020-11-16,标签,46,0.23%
2020-11-16,评论,31,0.16%
2020-11-16,讨论版,31,0.16%
2020-11-16,评分分布,26,0.13%
2020-11-16,制作人员,24,0.12%
2020-11-16,系列续集,21,0.11%
2020-11-16,系列前传,21,0.11%
2020-11-16,猜你喜欢,14,0.07%
2020-11-16,单行本,12,0.06%
2020-11-16,用户动态,9,0.05%
2020-11-16,条目,9,0.05%
2020-11-16,曲目列表,7,0.04%
2020-11-16,吐槽,6,0.03%
2020-11-16,目录,2,0.01%
2020-11-16,收藏,2,0.01%
2020-11-17,角色,79,0.4%
2020-11-17,关联条目,78,0.39%
2020-11-17,系列续集,69,0.35%
2020-11-17,章节,67,0.34%
2020-11-17,标签,62,0.31%
2020-11-17,评论,47,0.24%
2020-11-17,制作人员,41,0.21%
2020-11-17,系列前传,39,0.2%
2020-11-17,详情,31,0.16%
2020-11-17,猜你喜欢,28,0.14%
2020-11-17,讨论版,26,0.13%
2020-11-17,评分分布,21,0.11%
