日期,版本,事件Id,事件名称,消息数量,独立用户数
2020-11-14,null,TSacrifice.imageView,资产重组.封面图查看,1,1
2020-11-14,null,TNew.tabsChange,新番榜单.标签页切换,1,1
2020-11-14,null,Assist.copy,辅助登陆.复制,1,1
2020-11-14,null,Topic.toggleReverseComments,帖子.吐槽倒序,1,1
2020-11-14,null,RakuenSearch.selectHistory,帖子搜索.选择历史,1,1
2020-11-14,null,Login.onTips,登陆.配置提示,1,1
2020-11-14,null,Group.doJoin,小组.加入,1,1
2020-11-14,null,Topic.doDeleteReply,帖子.删除回复,1,1
2020-11-14,null,TTree.alert,资产分析.提醒,1,1
2020-11-14,null,Home.doUpdateCollection,首页.管理收藏,1,1
2020-11-14,null,TAdvanceSacrifice.alert,献祭推荐.提示,1,1
2020-11-14,null,Setting.reset,设置.恢复默认设置,1,1
2020-11-14,null,Assist.submit,辅助登陆.提交,1,1
2020-11-14,null,Subject.toPSNINE,条目.查看奖杯,1,1
2020-11-14,null,Say.doSay,吐槽.新吐槽,1,1
2020-11-14,null,Tags.tabsChange,标签索引.标签页切换,1,1
2020-11-14,null,Blog.scrollTo,日志.楼层跳转,1,1
2020-11-14,null,Rakuen.topRightMenu,超展开.右上角菜单,1,1
2020-11-14,null,Topic.doTranslate,帖子.翻译内容,1,1
2020-11-14,null,UserSetting.origin,个人设置.查看原图,1,1
2020-11-14,null,Group.imageView,小组.封面图查看,1,1
2020-11-14,null,Zone.connect,空间.添加好友,1,1
2020-11-14,null,TTrade.to,K线.跳转,1,1
2020-11-14,null,Group.next,小组.下一页,1,1
2020-11-14,null,Browser.onSelect,索引.类型选择,1,1
2020-11-14,null,RakuenSearch.doSearch,帖子搜索.搜索,1,1
2020-11-14,null,TBid.onSortPress,我的委托.排序,1,1
2020-11-14,null,TSacrifice.toggleUsers,资产重组.展开收起董事会,2,1
2020-11-14,null,Tag.toggleList,用户标签.切换布局,2,1
2020-11-14,null,Timeline.onSelectScope,时间胶囊.切换类型,2,2
2020-11-14,null,Voices.onFilterSelect,角色.职位选择,2,1
2020-11-14,null,Award.to,年鉴.跳转,2,1
2020-11-14,null,Group.topRightMenu,小组.右上角菜单,2,2
2020-11-14,null,TSacrifice.toggleTemples,资产重组.展开收起圣殿板块,2,2
2020-11-14,null,TSearch.deleteHistory,人物直达.删除历史,2,1
2020-11-14,null,TAdvanceBid.alert,买一推荐.提示,2,2
2020-11-14,null,CatalogDetail.doCollect,目录详情.收藏,2,2
2020-11-14,null,ServerStatus.pingAll,网络探针.全部检测,2,2
2020-11-14,null,RakuenSearch.to,帖子搜索.跳转,2,1
2020-11-14,null,TIndex.bonusHoliday,小圣杯.节日福利,2,2
2020-11-14,null,TValhall.onFilter,英灵殿.筛选,2,1
2020-11-14,null,Topic.toggleFilterMe,帖子.与我相关,2,1
2020-11-14,null,TCharaAssets.doBatchAsk,我的持仓.批量挂单,2,1
2020-11-14,null,LoginV1.onOtherPage,授权登陆.乱逛,2,2
2020-11-14,null,Rank.toggleList,排行榜.切换布局,2,1
2020-11-14,null,RakuenSearch.deleteHistory,帖子搜索.删除历史,2,1
2020-11-14,null,Zone.used,空间.历史,3,2
2020-11-14,null,Topic.setFavor,帖子.设置收藏,3,2
2020-11-14,null,Mono.topRightMenu,人物.右上角菜单,3,2
2020-11-14,null,Search.onLegacySelect,搜索.切换细分类型,3,3
2020-11-14,null,TSearch.to,人物直达.跳转,3,1
2020-11-14,null,Setting.clear,设置.清除缓存,3,3
2020-11-14,null,TAdvanceAsk.alert,卖一推荐.提示,3,2
2020-11-14,null,Home.showManageModal,首页.显示收藏管理,3,2
2020-11-14,null,Timeline.say,时间胶囊.新吐槽,3,3
2020-11-14,null,Subject.doEpsLongPress,条目.章节按钮长按,4,3
2020-11-14,null,Rating.tabsChange,用户评分.标签页切换,4,2
2020-11-14,null,Tags.to,标签索引.跳转,4,4
2020-11-14,null,TAdvanceSacrifice.to,献祭推荐.跳转,4,2
2020-11-14,null,RakuenHistory.to,本地帖子.跳转,4,1
2020-11-14,null,Zone.topRightMenu,空间.右上角菜单,4,3
2020-11-14,null,Comic.onSearch,漫画.搜索,4,1
2020-11-14,null,Subject.toggleReverseEps,条目.章节倒序,4,1
2020-11-14,null,Login.onSelect,登陆.切换域名,4,3
2020-11-14,null,Rank.doSearch,排行榜.页码跳转,4,2
2020-11-14,null,TICODeal.imageView,ICO交易.封面图查看,4,4
2020-11-14,null,Tag.onAirdateSelect,用户标签.年选择,5,3
2020-11-14,null,Subject.doEraseCollection,条目.删除收藏,5,3
2020-11-14,null,TSearch.doSearch,人物直达.搜索,5,3
2020-11-14,null,Comic.init,漫画.初始化,5,4
2020-11-14,null,UserTimeline.to,时间线.跳转,5,1
2020-11-14,null,RakuenHistory.toggleFavor,本地帖子.切换收藏,5,1
2020-11-14,null,LoginV1.onSuccess,授权登陆.成功,6,4
2020-11-14,null,Subject.doUpdateBookEp,条目.更新书籍章节,6,2
2020-11-14,null,User.tabsPress,我的.标签页点击,6,1
2020-11-14,null,Works.toggleList,作品.切换布局,6,1
2020-11-14,null,TIndex.authFail,小圣杯.授权失败,6,1
2020-11-14,null,Blog.to,日志.跳转,6,3
2020-11-14,null,TTree.onTypeSelect,资产分析.选择范围,6,2
2020-11-14,null,Mono.doCollect,人物.收藏人物,7,5
2020-11-14,null,Setting.logout,设置.退出登陆,7,6
2020-11-14,null,Home.doUpdateNext,首页.更新书籍下一个章节,7,1
2020-11-14,null,Works.onOrderSelect,作品.排序选择,7,4
2020-11-14,null,Tag.onOrderSelect,用户标签.排序选择,7,4
2020-11-14,null,Other.deeplink,其他.Linking,7,4
2020-11-14,null,Episodes.to,章节.跳转,8,4
2020-11-14,null,Wenku.to,文库.跳转,8,4
2020-11-14,null,Rank.onFilterSelect,排行榜.筛选选择,8,4
2020-11-14,null,Characters.to,更多角色.跳转,8,3
2020-11-14,null,TTemples.to,最近圣殿.跳转,8,2
2020-11-14,null,ServerStatus.pingOne,网络探针.检测,8,1
2020-11-14,null,Rank.onTypeSelect,排行榜.类型选择,8,3
2020-11-14,null,TValhall.to,英灵殿.跳转,9,3
2020-11-14,null,TSacrifice.toggleExpand,资产重组.展开收起圣殿,9,6
2020-11-14,null,TTrade.changeDistance,K线.间隔,9,2
2020-11-14,null,Voices.to,角色.跳转,9,2
2020-11-14,null,Browser.onAirdateSelect,索引.年选择,9,6
2020-11-14,null,TRich.to,番市首富.跳转,9,6
2020-11-14,null,TDeal.switchIsIce,交易.切换冰山,9,5
2020-11-14,null,Topic.scrollTo,帖子.楼层跳转,9,6
2020-11-14,null,Other.theme,其他.切换主题,10,6
2020-11-14,null,TNew.to,新番榜单.跳转,10,2
2020-11-14,null,Subject.doTranslate,条目.翻译简介,11,3
2020-11-14,null,Works.onFilterSelect,作品.职位选择,11,5
2020-11-14,null,Wenku.onSelect,文库.选择,11,4
2020-11-14,null,TRich.tabsChange,番市首富.标签页切换,11,5
2020-11-14,null,TSacrifice.templeView,资产重组.圣殿图查看,11,6
